location,age_group,forecast_date,target_end_date,target,type,quantile,value,pathogen
DE,00-04,2024-03-03,2024-03-03,0 day ahead inc hosp,mean,NA,20,COVID-19
DE,05-14,2024-03-03,2024-03-03,0 day ahead inc hosp,mean,NA,4.3,COVID-19
DE,15-34,2024-03-03,2024-03-03,0 day ahead inc hosp,mean,NA,24,COVID-19
DE,35-59,2024-03-03,2024-03-03,0 day ahead inc hosp,mean,NA,74.1,COVID-19
DE,60-79,2024-03-03,2024-03-03,0 day ahead inc hosp,mean,NA,188.1,COVID-19
DE,80+,2024-03-03,2024-03-03,0 day ahead inc hosp,mean,NA,230.9,COVID-19
DE,00+,2024-03-03,2024-03-03,0 day ahead inc hosp,mean,NA,541.4,COVID-19
DE,00-04,2024-03-03,2024-03-02,-1 day ahead inc hosp,mean,NA,20,COVID-19
DE,05-14,2024-03-03,2024-03-02,-1 day ahead inc hosp,mean,NA,4.3,COVID-19
DE,15-34,2024-03-03,2024-03-02,-1 day ahead inc hosp,mean,NA,25.2,COVID-19
DE,35-59,2024-03-03,2024-03-02,-1 day ahead inc hosp,mean,NA,75.3,COVID-19
DE,60-79,2024-03-03,2024-03-02,-1 day ahead inc hosp,mean,NA,190.6,COVID-19
DE,80+,2024-03-03,2024-03-02,-1 day ahead inc hosp,mean,NA,235.8,COVID-19
DE,00+,2024-03-03,2024-03-02,-1 day ahead inc hosp,mean,NA,551,COVID-19
DE,00-04,2024-03-03,2024-03-01,-2 day ahead inc hosp,mean,NA,23.7,COVID-19
DE,05-14,2024-03-03,2024-03-01,-2 day ahead inc hosp,mean,NA,4.3,COVID-19
DE,15-34,2024-03-03,2024-03-01,-2 day ahead inc hosp,mean,NA,22,COVID-19
DE,35-59,2024-03-03,2024-03-01,-2 day ahead inc hosp,mean,NA,74.4,COVID-19
DE,60-79,2024-03-03,2024-03-01,-2 day ahead inc hosp,mean,NA,221.1,COVID-19
DE,80+,2024-03-03,2024-03-01,-2 day ahead inc hosp,mean,NA,261.1,COVID-19
DE,00+,2024-03-03,2024-03-01,-2 day ahead inc hosp,mean,NA,606.5,COVID-19
DE,00-04,2024-03-03,2024-02-29,-3 day ahead inc hosp,mean,NA,20.7,COVID-19
DE,05-14,2024-03-03,2024-02-29,-3 day ahead inc hosp,mean,NA,4.3,COVID-19
DE,15-34,2024-03-03,2024-02-29,-3 day ahead inc hosp,mean,NA,16.4,COVID-19
DE,35-59,2024-03-03,2024-02-29,-3 day ahead inc hosp,mean,NA,94.5,COVID-19
DE,60-79,2024-03-03,2024-02-29,-3 day ahead inc hosp,mean,NA,225.9,COVID-19
DE,80+,2024-03-03,2024-02-29,-3 day ahead inc hosp,mean,NA,281.6,COVID-19
DE,00+,2024-03-03,2024-02-29,-3 day ahead inc hosp,mean,NA,643.5,COVID-19
DE,00-04,2024-03-03,2024-02-28,-4 day ahead inc hosp,mean,NA,19.4,COVID-19
DE,05-14,2024-03-03,2024-02-28,-4 day ahead inc hosp,mean,NA,6.4,COVID-19
DE,15-34,2024-03-03,2024-02-28,-4 day ahead inc hosp,mean,NA,17.2,COVID-19
DE,35-59,2024-03-03,2024-02-28,-4 day ahead inc hosp,mean,NA,89.9,COVID-19
DE,60-79,2024-03-03,2024-02-28,-4 day ahead inc hosp,mean,NA,238.4,COVID-19
